@relation jAudio

@attribute 'Spectral Centroid Overall Standard Deviation0' numeric
@attribute 'Spectral Rolloff Point Overall Standard Deviation0' numeric
@attribute 'Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Compactness Overall Standard Deviation0' numeric
@attribute 'Spectral Variability Overall Standard Deviation0' numeric
@attribute 'Root Mean Square Overall Standard Deviation0' numeric
@attribute 'Fraction Of Low Energy Windows Overall Standard Deviation0' numeric
@attribute 'Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Strongest Beat Overall Standard Deviation0' numeric
@attribute 'Beat Sum Overall Standard Deviation0' numeric
@attribute 'Strength Of Strongest Beat Overall Standard Deviation0' numeric
@attribute 'LPC Overall Standard Deviation0' numeric
@attribute 'LPC Overall Standard Deviation1' numeric
@attribute 'LPC Overall Standard Deviation2' numeric
@attribute 'LPC Overall Standard Deviation3' numeric
@attribute 'LPC Overall Standard Deviation4' numeric
@attribute 'LPC Overall Standard Deviation5' numeric
@attribute 'LPC Overall Standard Deviation6' numeric
@attribute 'LPC Overall Standard Deviation7' numeric
@attribute 'LPC Overall Standard Deviation8' numeric
@attribute 'LPC Overall Standard Deviation9' numeric
@attribute 'Method of Moments Overall Standard Deviation0' numeric
@attribute 'Method of Moments Overall Standard Deviation1' numeric
@attribute 'Method of Moments Overall Standard Deviation2' numeric
@attribute 'Method of Moments Overall Standard Deviation3' numeric
@attribute 'Method of Moments Overall Standard Deviation4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation0' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation1' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation2' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation3' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation5' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation6' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation7' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation8' numeric
@attribute 'Area Method of Moments of MFCCs Overall Standard Deviation9' numeric
@attribute 'Spectral Centroid Overall Average0' numeric
@attribute 'Spectral Rolloff Point Overall Average0' numeric
@attribute 'Spectral Flux Overall Average0' numeric
@attribute 'Compactness Overall Average0' numeric
@attribute 'Spectral Variability Overall Average0' numeric
@attribute 'Root Mean Square Overall Average0' numeric
@attribute 'Fraction Of Low Energy Windows Overall Average0' numeric
@attribute 'Zero Crossings Overall Average0' numeric
@attribute 'Strongest Beat Overall Average0' numeric
@attribute 'Beat Sum Overall Average0' numeric
@attribute 'Strength Of Strongest Beat Overall Average0' numeric
@attribute 'LPC Overall Average0' numeric
@attribute 'LPC Overall Average1' numeric
@attribute 'LPC Overall Average2' numeric
@attribute 'LPC Overall Average3' numeric
@attribute 'LPC Overall Average4' numeric
@attribute 'LPC Overall Average5' numeric
@attribute 'LPC Overall Average6' numeric
@attribute 'LPC Overall Average7' numeric
@attribute 'LPC Overall Average8' numeric
@attribute 'LPC Overall Average9' numeric
@attribute 'Method of Moments Overall Average0' numeric
@attribute 'Method of Moments Overall Average1' numeric
@attribute 'Method of Moments Overall Average2' numeric
@attribute 'Method of Moments Overall Average3' numeric
@attribute 'Method of Moments Overall Average4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average0' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average1' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average2' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average3' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average4' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average5' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average6' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average7' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average8' numeric
@attribute 'Area Method of Moments of MFCCs Overall Average9' numeric
@attribute NewNominal {target,other}

@data
17.77,0.1936,0.000001,138.8,0.000009,0.002989,0,36.79,0,0,0,0.1569,0.1384,0.1385,0.1141,0.1026,0.08334,0.06812,0.07111,0.06174,0,0.001792,6.822,462.3,62460,8156000,0.01074,110.6,2795,893800,23000000,591100000,10840000000,207100000,5325000000,1.877E14,44.27,0.5349,0.000001,1542,0.000115,0.004565,0,108.6,0,0,0,-0.5317,-0.4084,-0.2692,-0.1919,-0.1657,-0.1404,-0.1207,-0.09942,-0.08909,0,0.01863,113.9,6722,43240,76380000,0.1853,4042,105800,-16330000,-427400000,-11180000000,132100000000,3876000000,101400000000,2.366E15,target
16.38,0.1804,0,138.5,0.000008,0.002997,0,36.48,0,0,0,0.1671,0.1125,0.09185,0.1062,0.09329,0.08296,0.0611,0.06458,0.05939,0,0.00172,6.898,320.6,72880,5717000,0.009653,111,2823,981600,25300000,651600000,13020000000,228400000,5884000000,2.257E14,39.18,0.4757,0.000001,1505,0.000114,0.004466,0,98.15,0,0,0,-0.5706,-0.408,-0.2908,-0.1715,-0.207,-0.1203,-0.1374,-0.09109,-0.09351,0,0.01787,112.3,6643,47880,74920000,0.1798,4423,115500,-19550000,-510600000,-13330000000,173000000000,4626000000,120800000000,3.08E15,target
34.71,0.1136,0.000021,115,0.000097,0.004867,0,67.16,0,0,0,0.2881,0.3291,0.1734,0.06222,0.08555,0.07049,0.04991,0.0766,0.06072,0,0.008342,9.769,990.8,93670,10380000,0.05482,112,2706,44870,1104000,26890000,33090000,10240000,250900000,487700000000,42.01,0.3916,0.000007,1512,0.000142,0.005462,0,99.02,0,0,0,-0.5689,-0.2684,-0.3253,-0.2091,-0.1714,-0.1413,-0.1342,-0.1104,-0.08106,0,0.01955,111.6,6266,53530,71220000,0.1896,198.4,4939,-50490,-1257000,-30800000,29330000,11870000,293400000,438500000000,other
45.24,0.1716,0.000017,134.2,0.000094,0.004759,0,92.32,0,0,0,0.3566,0.3734,0.202,0.0916,0.1049,0.06858,0.07128,0.06285,0.05393,0,0.005587,13.98,910.7,144800,15770000,0.04208,112,2771,130400,3237000,80080000,234300000,29710000,736400000,3571000000000,50.91,0.4508,0.000007,1521,0.000148,0.005764,0,121.3,0,0,0,-0.4906,-0.2803,-0.3456,-0.2076,-0.1656,-0.1312,-0.1409,-0.09654,-0.1005,0,0.01941,114.7,6414,18040,74150000,0.1911,584.1,14530,-349800,-8726000,-216200000,435200000,80830000,2010000000,6682000000000,other
32.76,0.09946,0.00003,119.5,0.000138,0.006144,0,65.93,0,0,0,0.2528,0.3414,0.1716,0.08723,0.06112,0.04777,0.05412,0.07196,0.05069,0,0.00834,8.071,1053,78700,11550000,0.04348,111.6,2701,216900,5301000,129300000,639000000,48530000,1185000000,9.378E12,41.39,0.3961,0.000007,1507,0.000153,0.005749,0,98,0,0,0,-0.5803,-0.2713,-0.327,-0.2154,-0.1742,-0.1453,-0.1163,-0.1112,-0.08844,0,0.0195,111.7,6262,53000,71030000,0.1814,974.8,24000,-956200,-23580000,-579000000,1906000000,218400000,5376000000,2.838E13,other
28.34,0.111,0.000006,110.2,0.000051,0.003711,0,64.05,0,0,0,0.2297,0.2674,0.165,0.08504,0.07094,0.06231,0.04655,0.05351,0.05335,0,0.004881,7.365,782.2,83840,9184000,0.02658,111.6,2695,303000,7382000,179600000,1241000000,67450000,1642000000,1.804E13,39.59,0.3883,0.000002,1516,0.000127,0.004904,0,98.05,0,0,0,-0.5875,-0.2949,-0.3243,-0.1991,-0.1705,-0.1586,-0.1136,-0.1018,-0.09883,0,0.01844,110.9,6375,56950,72180000,0.1792,1361,33390,-1856000,-45590000,-1117000000,5105000000,420500000,10320000000,7.535E13,other
78.8,0.2387,0.00013,142.2,0.000321,0.01216,0,145.9,0,0,0,0.6292,0.4846,0.2602,0.212,0.1581,0.1049,0.1055,0.1094,0.09077,0,0.0239,32.26,1563,271400,25780000,0.1656,109.4,3084,381000,10130000,269100000,1997000000,90530000,2408000000,3.54E13,89.56,0.5502,0.000068,1505,0.000306,0.01171,0,189.5,0,0,0,-0.171,-0.1473,-0.426,-0.1366,-0.2355,-0.1249,-0.1213,-0.1115,-0.1122,0,0.03164,131.3,5979,-105500,79220000,0.2931,1748,43350,-3057000,-75920000,-1881000000,10750000000,699800000,17360000000,1.644E14,other
58.93,0.1872,0.000024,123.5,0.000126,0.005459,0,119.1,0,0,0,0.5101,0.301,0.2427,0.1665,0.1165,0.08084,0.06496,0.06885,0.0672,0,0.008046,18.95,707.3,191000,6829000,0.05688,112.4,2831,478200,12150000,308600000,3058000000,111600000,2836000000,5.057E13,61.21,0.4707,0.00001,1518,0.000166,0.006375,0,139.4,0,0,0,-0.3965,-0.264,-0.3934,-0.1191,-0.2348,-0.1373,-0.1409,-0.08715,-0.1081,0,0.02077,118.9,6375,-20140,75030000,0.1995,2131,54730,-4540000,-116700000,-2994000000,19430000000,1071000000,27510000000,3.289E14,other
33.71,0.1304,0.000013,127.6,0.000063,0.004014,0,69.96,0,0,0,0.2424,0.1296,0.1307,0.1064,0.07653,0.06943,0.05995,0.06223,0.04953,0,0.004251,13.05,311.2,128500,10090000,0.01211,111.3,2685,559400,13890000,344200000,4226000000,126400000,3134000000,6.63E13,38.27,0.393,0.000003,1529,0.000125,0.004752,0,96.18,0,0,0,-0.5988,-0.35,-0.2994,-0.221,-0.1628,-0.1334,-0.1362,-0.1169,-0.08421,0,0.01788,111.1,6534,54110,75290000,0.1732,2517,64190,-6332000,-161600000,-4116000000,31960000000,1483000000,37810000000,5.295E14,other
49.87,0.1637,0.000043,120.8,0.00014,0.00649,0,96.84,0,0,0,0.4088,0.4074,0.187,0.1327,0.08996,0.1023,0.08024,0.08331,0.08132,0,0.01195,19.35,1196,175800,18230000,0.07987,112.7,2720,654100,16200000,400800000,5703000000,148700000,3680000000,8.869E13,52.34,0.4316,0.000014,1516,0.000164,0.006642,0,120.3,0,0,0,-0.4854,-0.2203,-0.3321,-0.2167,-0.1948,-0.1484,-0.1497,-0.07929,-0.08402,0,0.02196,115.7,6178,17780,73100000,0.2066,2908,73800,-8448000,-214500000,-5440000000,49220000000,1973000000,50070000000,8.042E14,other
17.6,0.166,0,121.2,0.000008,0.003006,0,45.47,0,0,0,0.1925,0.1268,0.1133,0.08302,0.08715,0.08776,0.06508,0.05897,0.05278,0,0.001559,7.825,363.4,79320,6033000,0.01159,111.3,2761,732000,18340000,459200000,7226000000,167000000,4183000000,1.146E14,37.56,0.4348,0.000001,1533,0.000114,0.004473,0,97.28,0,0,0,-0.5788,-0.3893,-0.288,-0.1824,-0.1725,-0.1367,-0.1286,-0.08702,-0.1095,0,0.01758,111.3,6647,57060,75510000,0.1766,3291,83300,-10820000,-274000000,-6932000000,71300000000,2514000000,63640000000,1.156E15,other
61.07,0.1839,0.000027,182.7,0.000138,0.006057,0,116,0,0,0,0.5165,0.4026,0.2553,0.1398,0.1133,0.09735,0.07261,0.08831,0.08042,0,0.01197,21.39,1060,207700,15140000,0.09985,108.8,3062,798400,21360000,570600000,8793000000,190400000,5092000000,1.596E14,75.63,0.557,0.000014,1537,0.000187,0.007575,0,167.4,0,0,0,-0.2642,-0.1793,-0.4035,-0.1463,-0.2008,-0.1205,-0.1434,-0.09617,-0.08701,0,0.02574,123.7,6106,-56550,73220000,0.2571,3673,92940,-13480000,-341300000,-8631000000,99090000000,3124000000,79050000000,1.606E15,other
